Category,Order Date,Segment,Number of Records,Sales Target (Sales Target)
Office Supplies,8/19/2015,Consumer,1,15
Office Supplies,9/14/2014,Home Office,1,300
Office Supplies,8/27/2014,Consumer,1,21
Furniture,6/11/2014,Home Office,1,2316
Office Supplies,3/25/2014,Consumer,1,17
Office Supplies,7/14/2016,Corporate,1,14
Office Supplies,10/23/2014,Home Office,1,699
Technology,2/22/2016,Home Office,1,1068
Furniture,11/21/2015,Consumer,1,81
Office Supplies,7/8/2016,Consumer,1,11
Office Supplies,5/29/2014,Consumer,1,9
Technology,6/28/2014,Consumer,1,29
Furniture,11/14/2016,Corporate,1,47
Office Supplies,4/9/2014,Corporate,1,3
Furniture,12/30/2015,Consumer,1,9
Furniture,11/26/2016,Consumer,1,792
Office Supplies,2/14/2015,Consumer,1,1387
Office Supplies,8/10/2014,Corporate,1,570
Technology,10/8/2014,Corporate,1,595
Furniture,11/27/2014,Corporate,1,66
Technology,6/1/2014,Consumer,1,144
Furniture,12/10/2015,Consumer,1,109
Office Supplies,11/26/2015,Consumer,1,49
Technology,1/30/2016,Consumer,1,112
Office Supplies,8/7/2016,Corporate,1,66
Furniture,3/16/2015,Consumer,1,158
Office Supplies,5/22/2015,Consumer,1,183
Furniture,11/3/2016,Consumer,1,1244
Office Supplies,9/12/2015,Consumer,1,538
Office Supplies,2/6/2015,Corporate,1,67
Technology,4/24/2016,Consumer,1,749
Furniture,3/28/2015,Consumer,1,25
Office Supplies,9/15/2015,Consumer,1,40
Furniture,3/9/2015,Corporate,1,124
Furniture,10/8/2016,Home Office,1,65
Office Supplies,3/3/2014,Corporate,1,10
Office Supplies,9/8/2016,Home Office,1,531
Technology,11/21/2016,Home Office,1,343
Furniture,6/29/2015,Consumer,1,360
Office Supplies,3/19/2016,Consumer,1,86
Office Supplies,8/7/2015,Consumer,1,3
Office Supplies,11/29/2014,Consumer,1,262
Furniture,5/23/2016,Consumer,1,308
Technology,4/20/2015,Consumer,1,506
Office Supplies,6/9/2015,Consumer,1,19
Office Supplies,3/4/2016,Home Office,1,11
Technology,10/26/2015,Consumer,1,176
Office Supplies,12/8/2016,Consumer,1,106
Office Supplies,9/9/2016,Corporate,1,15
Office Supplies,11/8/2014,Home Office,1,122
Office Supplies,4/13/2016,Consumer,1,10
Office Supplies,4/17/2016,Corporate,1,13
Technology,10/11/2014,Corporate,1,261
Office Supplies,4/22/2014,Corporate,1,71
Technology,4/22/2014,Corporate,1,108
Furniture,6/8/2014,Home Office,1,13
Furniture,1/22/2015,Consumer,1,1535
Office Supplies,9/27/2016,Consumer,1,143
Technology,4/25/2016,Consumer,1,241
Furniture,11/3/2015,Consumer,1,113
Office Supplies,9/18/2016,Consumer,1,16
Office Supplies,2/25/2015,Corporate,1,353
Technology,1/16/2015,Corporate,1,259
Office Supplies,3/30/2014,Corporate,1,18
Office Supplies,9/30/2014,Consumer,1,9
Office Supplies,3/12/2015,Consumer,1,50
Furniture,8/16/2015,Consumer,1,22
Office Supplies,12/1/2015,Consumer,1,12
Furniture,1/1/2017,Corporate,1,19
Office Supplies,3/13/2016,Home Office,1,12
Technology,12/20/2016,Corporate,1,69
Office Supplies,3/25/2016,Consumer,1,9
Office Supplies,8/9/2014,Consumer,1,19
Office Supplies,12/23/2014,Home Office,1,13
Office Supplies,3/22/2015,Consumer,1,60
Office Supplies,2/19/2015,Consumer,1,21
Furniture,5/10/2015,Consumer,1,1247
Furniture,11/5/2014,Home Office,1,545
Office Supplies,3/11/2016,Consumer,1,260
Office Supplies,2/2/2016,Home Office,1,19
Technology,1/29/2016,Home Office,1,5
Office Supplies,11/16/2014,Corporate,1,3
Office Supplies,10/8/2015,Home Office,1,43
Technology,7/10/2015,Corporate,1,138
Furniture,12/15/2014,Consumer,1,557
Furniture,2/24/2014,Corporate,1,287
Office Supplies,7/29/2016,Consumer,1,200
Office Supplies,8/11/2016,Corporate,1,54
Office Supplies,5/27/2016,Home Office,1,142
Technology,11/2/2015,Home Office,1,9
Office Supplies,5/11/2016,Consumer,1,315
Office Supplies,4/26/2016,Consumer,1,217
Technology,11/19/2015,Consumer,1,446
Furniture,4/5/2015,Consumer,1,49
Furniture,1/20/2016,Corporate,1,983
Office Supplies,3/21/2014,Consumer,1,227
Office Supplies,2/13/2014,Corporate,1,208
Office Supplies,1/21/2015,Home Office,1,115
Office Supplies,5/25/2015,Consumer,1,749
Furniture,11/30/2014,Consumer,1,8
Office Supplies,6/11/2015,Consumer,1,124
Office Supplies,9/5/2016,Corporate,1,178
Technology,7/17/2014,Corporate,1,646
Furniture,6/27/2015,Home Office,1,1220
Office Supplies,10/23/2014,Consumer,1,217
Office Supplies,3/6/2014,Corporate,1,12
Office Supplies,12/7/2015,Home Office,1,99
Technology,12/2/2014,Consumer,1,77
Technology,1/10/2015,Home Office,1,523
Furniture,2/17/2015,Consumer,1,43
Office Supplies,6/28/2014,Consumer,1,302
Technology,1/17/2015,Home Office,1,514
Furniture,7/18/2016,Corporate,1,3396
Office Supplies,2/21/2016,Consumer,1,250
Office Supplies,1/30/2015,Corporate,1,361
Furniture,7/7/2016,Home Office,1,1536
Office Supplies,8/19/2015,Home Office,1,1771
Technology,10/8/2014,Home Office,1,25729
Furniture,2/12/2015,Corporate,1,22
